Date,Open,High,Low,Close,Adj Close,Volume
1977-02-16,6.348956,6.427145,6.302043,6.411507,1.625818,1254970
1977-02-17,6.411507,6.411507,6.286405,6.333318,1.605992,929637
1977-02-18,6.333318,6.380232,6.270767,6.348956,1.609957,817729
1977-02-22,6.348956,6.427145,6.333318,6.364594,1.613922,610699
1977-02-23,6.364594,6.380232,6.317680,6.333318,1.605992,764173
1977-02-24,6.317680,6.317680,6.223854,6.239491,1.582199,958413
1977-02-25,6.239491,6.333318,6.223854,6.270767,1.590128,678643
1977-02-28,6.270767,6.333318,6.270767,6.317680,1.602026,553945
1977-03-01,6.333318,6.380232,6.333318,6.348956,1.609957,777762
1977-03-02,6.348956,6.364594,6.255129,6.302043,1.598061,772966
1977-03-03,6.302043,6.380232,6.286405,6.364594,1.628469,664255
1977-03-04,6.364594,6.411507,6.348956,6.364594,1.628469,1083111
1977-03-07,6.364594,6.380232,6.333318,6.364594,1.628469,812134
1977-03-08,6.364594,6.411507,6.333318,6.364594,1.628469,796147
1977-03-09,6.364594,6.380232,6.317680,6.348956,1.624469,805739
1977-03-10,6.348956,6.411507,6.333318,6.395870,1.636471,566735
1977-03-11,6.395870,6.427145,6.364594,6.427145,1.644473,595511
1977-03-14,6.427145,6.442783,6.380232,6.427145,1.644473,814532
1977-03-15,6.427145,6.505334,6.427145,6.505334,1.664479,1328510
1977-03-16,6.505334,6.520972,6.411507,6.442783,1.648475,858495
1977-03-17,6.442783,6.567886,6.348956,6.411507,1.640472,517975
1977-03-18,6.411507,6.489697,6.380232,6.380232,1.632470,767370
1977-03-21,6.380232,6.411507,6.333318,6.348956,1.624469,808137
1977-03-22,6.348956,6.411507,6.333318,6.380232,1.632470,765772
1977-03-23,6.380232,6.427145,6.348956,6.364594,1.628469,689834
1977-03-24,6.364594,6.364594,6.270767,6.286405,1.608462,658659
1977-03-25,6.286405,6.302043,6.255129,6.255129,1.600461,726604
1977-03-28,6.255129,6.255129,6.192578,6.239491,1.596460,890469
1977-03-29,6.239491,6.302043,6.239491,6.270767,1.604461,931236
1977-03-30,6.270767,6.286405,6.161302,6.208216,1.588457,865690
1977-03-31,6.208216,6.223854,6.130027,6.145664,1.572452,820926
1977-04-01,6.145664,6.239491,6.130027,6.192578,1.584456,853699
1977-04-04,6.176940,6.176940,5.989286,6.083113,1.556448,1261365
1977-04-05,6.083113,6.145664,6.067475,6.114389,1.564450,636278
1977-04-06,6.114389,6.176940,6.114389,6.161302,1.576454,1125476
1977-04-07,6.161302,6.223854,6.145664,6.161302,1.576454,678643
1977-04-11,6.161302,6.239491,6.161302,6.176940,1.580455,812134
1977-04-12,6.333318,6.395870,6.333318,6.380232,1.632470,1933613
1977-04-13,6.380232,6.458421,6.364594,6.458421,1.652476,1424431
1977-04-14,6.614799,6.677350,6.614799,6.630437,1.696488,2034330
1977-04-15,6.630437,6.724264,6.614799,6.724264,1.720495,1121480
1977-04-18,6.708626,6.708626,6.646075,6.692988,1.712492,855298
1977-04-19,6.692988,6.708626,6.630437,6.661713,1.704491,988789
1977-04-20,6.661713,6.739902,6.661713,6.739902,1.724497,1107891
1977-04-21,6.739902,6.802453,6.724264,6.755540,1.728499,1500369
1977-04-22,6.724264,6.724264,6.661713,6.677350,1.708492,820127
1977-04-25,6.661713,6.661713,6.411507,6.442783,1.648475,3000737
1977-04-26,6.442783,6.520972,6.380232,6.411507,1.640472,1887251
1977-04-27,6.411507,6.520972,6.255129,6.505334,1.664479,2577884
1977-04-28,6.505334,6.614799,6.505334,6.599161,1.688486,2229370
1977-04-29,6.661713,6.739902,6.661713,6.739902,1.724497,1426829
1977-05-02,6.739902,6.771177,6.724264,6.771177,1.732498,965608
1977-05-03,6.771177,6.771177,6.739902,6.755540,1.728499,689834
